Publication Type,Authors,Book Authors,Book Editors,Author Full Names,Book Author Full Names,Article Title,Source Title,Book Series Title,Abstract,Publication Year,Volume,Issue,Start Page,End Page
C,"Al-Masoud, N; Naoumov, V; Kirstukas, SJ",,,"Al-Masoud, Nidal; Naoumov, Viatcheslav; Kirstukas, Steven Joseph",,Embedding Lifelong Learning in Engineering Courses,2013 ASEE ANNUAL CONFERENCE,ASEE Annual Conference & Exposition,"The main thrust of this paper is presenting an assessment methodology for lifelong learning competency. Several assessment tools embedded in a selected set of engineering courses along with their assessment methodologies, data analysis and conclusions are presented in this manuscript. The selected courses are spread over at the sophomore, junior, and senior levels. The courses include Engineering Dynamics, Fluid Mechanics, Propulsion Systems, and the Senior Design Capstone project. With the exception of the last course, students were assigned a set of open-ended problems that involved a wide range of engineering and real-world applications that students might encounter as practicing engineers or as graduate students. Information sources were restricted to peer-reviewed published work such as journal articles, conference proceedings, and books. Students were directed to use the main engineering digital databases Engineering Village or Compendex, which provide comprehensive coverage of literature in all engineering fields. Unsupported assertions or claims were a basis of rejection or grade reduction of the project grade. The attainment level of the lifelong learning competency was assessed using two performance indicators. The first performance indicator comprised of measures of students' ability to recognize the attributes of a lifelong learner, the significance of lifelong learning, and identification of sources for continuing education. This performance indicator was assessed using a comprehensive online survey that students filled out upon completion of the research project. The second indicator focused on students' ability to independently perform an in-depth analysis, produce quality work, and use various resources to learn new material not taught in class. This performance indicator was assessed using technical report grading rubrics. Students' feedback, survey, and reports analysis, all indicated that the methodology has been successfully implemented. The awareness level of attributes of being a lifelong learner, identification of different means of lifelong sources and methods have been positively impacted.",2013,,,,
J,"Do, BL; Nguyen, VT; Dinh, HN; Dao, TC; Nguyen, B",,,Ba-Lam Do; Van-Thanh Nguyen; Hoang-Nam Dinh; Thanh-Chung Dao; BinhMinh Nguyen,,Blockchain for Education: Verification and Management of Lifelong Learning Data,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,,"In recent years, blockchain technology has been applied in the educational domain because of its salient advantages, i.e., transparency, decentralization, and immutability. Available systems typically use public blockchain networks such as Ethereum and Bitcoin to store learning results. However, the cost of writing data on these networks is significant, making educational institutions limit data sent to the target network, typically containing only hash codes of the issued certificates. In this paper, we present a system based on a private blockchain network for lifelong learning data authentication and management named B4E (Blockchain For Education). B4E stores not only certificates but also learners' training data such as transcripts and educational programs in order to create a complete record of the lifelong education of each user and verify certificates that they have obtained. As a result, B4E can address two types of fake certificates, i.e., certificates printed by unlawful organizations and certificates issued by educational institutions for learners who have not met the training requirements. In addition, B4E is designed to allow all participants to easily deploy software packages to manage, share, and check stored information without depending on a single point of access. As such, the system enhances the transparency and reliability of the stored data. Our experiments show that B4E meets expectations for deployment in reality.",2022,43,2,591,604
B,"Forray, KR; Ohidy, A",,"Ohidy, A; Forray, KR","Forray, Katalin R.; Ohidy, Andrea",,Introduction: Lifelong Learning and the Roma Minority in Central and Eastern Europe,LIFELONG LEARNING AND THE ROMA MINORITY IN CENTRAL AND EASTERN EUROPE,,"This introduction from Katalin R. Forray and Andrea Ohidy provides a brief overview of the social and education situation of European Roma and also about the structure of this book. Roma are here described as a 'hidden minority' (see the country study about Italy from Valeria Cavioni in the book Lifelong Learning and the Roma Minority in Western and Southern Europe (2019)), because - although they are the largest minority group living in Europe for more than a hundred years - we still know very little about them. Although most of the Roma people have been living for centuries in European countries, their situation is still different from the non-Roma population; they often suffered from poverty and exclusion. There is a host of Roma, especially in Southern and in Eastern Europe, who is considered to be the most disadvantaged group in European societies; that is, regarding their (1) health situation, (2) on the labour, (3) on the housing market and (4) also in education. Questions of education are the central elements of politics making the situation of Roma better. To fulfil these requirements, some European countries have taken determined steps. As Natascha Hofmann in the country study about Germany wrote in the book Lifelong Learning and the Roma Minority in Western and Southern Europe (2019), we are in the phase of the 'dawn of learning' because there are more and more policies and programmes to develop attainment and success of Roma in European education and lifelong learning. This book wants to change this and gives an overview about retrospective and prospective tendencies in the situation of European Roma in education and lifelong learning.",2019,,,1,13
J,"Wyatt, JC",,,"Wyatt, JC",,Knowledge for the clinician - 4. Keeping up: continuing education or lifelong learning?,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,,,2000,93,7,369,372
J,"Cendon, E",,,"Cendon, Eva",,Lifelong Learning at Universities: Future Perspectives for Teaching and Learning,JOURNAL OF NEW APPROACHES IN EDUCATIONAL RESEARCH,,"This paper examines practices of teaching and learning in the era of digitalization. More specifically, it addresses practices of teaching and learning for students with professional experience who work alongside their studies. Based on the assumption that digitalization is a means of allowing more open and flexible pathways for teaching and learning in higher education, the paper focusses on the perspectives and perceptions of both students and teachers in digital supported teaching and learning environments as forms of blended learning. It brings together findings from two qualitative empirical studies: one focused on students' perspectives of their development over the course of their studies; the second addressed teachers' perspectives and their teaching strategies and activities. Based on the findings of these two research studies, the paper outlines future perspectives for teaching and learning and the role of digitalization, with a particular emphasis on programs of lifelong learning at universities.",2018,7,2,81,87
C,"Selcuk, G; Cakmak, A; Ozdemir, AO; Celebi, N",,"Titrek, O; Mikelsone, I; Pavitola, L; Gultekin, GS","Selcuk, Gulenaz; Cakmak, Altan; Ozdemir, Ayse Okur; Celebi, Nurhayat",,Comparison of Teacher Candidates' Metaphorical Perceptions towards Lifelong Learning,2ND INTERNATIONAL CONFERENCE ON LIFELONG LEARNING AND LEADERSHIP FOR ALL (ICLEL 2016),,"The aim of this study is to examine and compare metaphorical perceptions of teacher candidates. The sample of the study consists of teacher candidates studying at science and Turkish language teaching departments in the Faculty of Education, Celal Bayar University in 2014-2015 academic year. While 206 teacher candidates study at Turkish Language Teaching Department, there are 323 teacher candidates in Science Teaching Department. The study has been based on qualitative research approach. Research design has been determined as phenomenological research. In order to investigate teacher candidates' metaphorical perceptions towards lifelong learning, semi-structured interviews have been used. They have been asked to complete the statement that The Lifelong Learning is like................... Because......... .. Data obtained from perceptions of teacher candidates in the analysis has been used for content analysis. The data gathered by interview forms has been listed and the related categories have been determined. The answers of the teacher candidates have been interpreted firstly in their own groups. Then, the data of Turkish Language Teacher candidates and the data of Science Teacher candidates have been compared. The similarities and difference between their perceptions have been revealed. Results about each problem have been supported with the interpretations and literature. Conclusions and recommendations have been stated according to the findings.",2016,,,59,65
J,"Wetzel, AP; Mazmanian, PE; Hojat, M; Kreutzer, KO; Carrico, RJ; Carr, C; Veloski, J; Rafiq, A",,,"Wetzel, Angela P.; Mazmanian, Paul E.; Hojat, Mohammadreza; Kreutzer, Kathleen O.; Carrico, Robert J.; Carr, Caroline; Veloski, Jon; Rafiq, Azhar",,Measuring Medical Students' Orientation Toward Lifelong Learning: A Psychometric Evaluation,ACADEMIC MEDICINE,,"Background The principle of lifelong learning is pervasive in regulations governing medical education and medical practice; yet, tools to measure lifelong learning are lagging in development. This study evaluates the Jefferson Scale of Physician Lifelong Learning (JeffSPLL) adapted for administration to medical students. Method The Jefferson Scale of Physician Lifelong Learning-Medical Students (JeffSPLL-MS) was administered to 732 medical students in four classes. Factor analysis and t tests were performed to investigate its construct validity. Results Maximum likelihood factor analysis identified a three-factor solution explaining 46% of total variance. Mean scores of clinical and preclinical students were compared; clinical students scored significantly higher in orientation toward lifelong learning (P < .001). Conclusions The JeffSPLL-MS presents findings consistent with key concepts of lifelong learning. Results from use of the JeffSPLL-MS may reliably inform curriculum design and education policy decisions that shape the careers of physicians.",2010,85,,S41,S44
J,"Kim, J",,,"Kim, JuSeuk",,Development of a global lifelong learning index for future education,ASIA PACIFIC EDUCATION REVIEW,,"Since the transition from industrial society to a knowledge-based society, the source of national competitiveness is also changing. In this context, lifelong education has become a new competitive strategy for countries. This study broadly consists of three steps. Step I features a theoretical review of global lifelong learning indices and a comparison of the indices with existing ones. Step II introduces the process of development of indices based on the previous studies. Step III compares the rankings of countries in the area of lifelong learning based on the indices. Indices developed through this study will be used to evaluate the lifelong learning level of a specific country and to compare that with the lifelong learning levels of major countries around the world. In addition, the strengths and the weaknesses of the lifelong learning system of a specific country will be identified based on the indices, and the efforts that the country should make as a priority to improve the competitiveness of its lifelong learning system will be identified. To sum up, these indices will be able to be used as a reference when countries evaluate policies related to lifelong learning and make decisions that aim to improve the competitiveness of lifelong education.",2016,17,3,439,463
C,"Sakharchuk, N",,"Chova, LG; Martinez, AL; Torres, IC","Sakharchuk, N.",,LIFELONG LEARNING IN FORMATION OF THE MODERN BUSINESS COMMUNITY OF RUSSIA,"14TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2020)",INTED Proceedings,"The situation in the modern educational process is characterized, on the one hand, by the rapid obsolescence of knowledge and traditional professions, and, on the other, by a sharp increase in demand for new-generation cadres with new competencies and skills. As a result of this, the lifelong learning concept, which provides for the wide development of various forms of continuing professional education, in particular, MBA programs, which are an effective tool for building a modern business community in Russia, acquires a key role.",2020,,,9430,9436
C,"Gulluoglu, SS",,"Chova, LG; Belenguer, DM; Torres, IC","Gulluoglu, Sabri Serkan",,HOW TO IMPROVE THE QUALITY OF EDUCATION: TURKEY'S EDUCATION SYSTEM UNDER LIFELONG LEARNING,"4TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED 2010)",,"With so much attention on improving the quality of education, with thousands of millions spent each year to remedy the situation, why do education failures persist? There is an answer. Quite simply, these efforts have been directed at solving the wrong problems. At the root of educational failures lies a fundamental problem that has been almost universally overlooked: Students have never been taught how to learn. Students are thrown into their school years and basic subjects without ever first being taught how to go about learning those subjects. As they grow older they are confronted by more and more complex areas of study, still without ever having acquired the skills with which to assimilate information, evaluate its relative importance and put it to use. This has been the vital missing ingredient that has hampered all fields of study. It handicaps both student in school and adults in life. Thus, many students find education a trying and difficult process. They never master the ability to rapidly learn something with certainty and ease. Others, even though they apparently have less difficulty studying, find they are unable to apply what they have read. It is a reality of the modern world that anyone in the work force, whether on the factory floor or in the executive suite, must have an ability to assimilate important information, retain it and then be able to apply it. This process, whether formal or informal, is what is meant by study. This study focused on three objectives: Improving the quality of education and training systems, making access to learning easier, opening education and training to the world. The aim of this study is to given methods to improve the quality of education and which standards are determined the quality and for supporting this idea; Turkey's education system example will be examined with right and wrong sides.",2010,,,1426,1436
C,"Covarrubias, JC",,"Lubkina, V; Usca, S","Covarrubias, Juan Campechano",,TOPICALITY OF COMMUNICATION TECHNOLOGIES AND INFORMATION (ICT) IN TEACHERS LIFELONG LEARNING AND TEACHING,"SOCIETY, INTEGRATION, EDUCATION, 2015, VOL IV",Sabiedriba Integracija Izglitiba-Society Integration Education,"This work is an advance of research in process about how is the incorporation for the use of Information Technologies and Communication (ICTs) by teachers of basic education in Jalisco State in their educational practice. The problematical is delimited, by two factors: the level of infrastructure and equipment of schools and on the other hand, the attitudes of teachers towards ICTs. It seek investigate as the main purpose, how the teachers appropriated technologies from different programs for the use of ICTs that has implemented by the Secretary of Public Education in their teaching. It is assumed that the reforms are not hegemonic mechanisms that permeate the educational practices but are contexts, attitudes that enable to teachers of basic education the differentiated appropriation of ICT.",2015,,,358,371
J,"Blaschke, LM",,,"Blaschke, Lisa Marie",,Heutagogy and Lifelong Learning: A Review of Heutagogical Practice and Self-Determined Learning,INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING,,"Heutagogy, a form of self-determined learning with practices and principles rooted in andragogy, has recently resurfaced as a learning approach after a decade of limited attention. In a heutagogical approach to teaching and learning, learners are highly autonomous and self-determined and emphasis is placed on development of learner capacity and capability with the goal of producing learners who are well-prepared for the complexities of today's workplace. The approach has been proposed as a theory for applying to emerging technologies in distance education and for guiding distance education practice and the ways in which distance educators develop and deliver instruction using newer technologies such as social media. The renewed interest in heutagogy is partially due to the ubiquitousness of Web 2.0, and the affordances provided by the technology. With its learner-centered design, Web 2.0 offers an environment that supports a heutagogical approach, most importantly by supporting development of learner-generated content and learner self-directedness in information discovery and in defining the learning path. Based on an extensive review of the current literature and research, this article defines and discusses the concepts of andragogy and heutagogy and describes the role of Web 2.0 in supporting a heutagogical learning approach. Examples of institutional programs that have incorporated heutagogical approaches are also presented; based on these examples and research results, course design elements that are characteristic of heutagogy are identified. The article provides a basis for discussion and research into heutagogy as a theory for guiding the use of new technologies in distance education.",2012,13,1,56,71
C,"Panitsidou, E; Griva, E; Chostelidou, D",,"Baskan, GA; Ozdamli, F; Kanbul, S; Ozcan, D","Panitsidou, Eugenia; Griva, Eleni; Chostelidou, Dora",,European Union policies on lifelong learning: in-between competitiveness enhancement and social stability reinforcement,4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012),Procedia Social and Behavioral Sciences,"The present paper draws on European Union (EU) policies for Lifelong Learning, through thorough review of policy papers. Adopting an interpretative approach, it seeks to define trends and detect interrelations between EU education policy and developments in the context of European enlargement, as well as global socioeconomic mandates. Ambitious objectives set at the Lisbon Council, in 2000, legitimised enforcement of a coherent European education policy. Hence, in alignment with the Lisbon Strategy mandates (since 2010, renewed as Education and Training 2020), widening access and raising adult participation in education throughout lifespan emerged as a major component of sustainable economic growth and social cohesion reinforcement, so as to allow Europe to retain its strong global role.",2012,46,,548,553
C,"Biskupic, IO",,"GomezChova, L; LopezMartinez, A; CandelTorres, I","Biskupic, Ivana Ogrizek",,DEVELOPMENT AND DESIGN OF TRANSNATIONAL LIFELONG LEARNING CURRICULUM,EDULEARN15: 7TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,EDULEARN Proceedings,"This paper describes the concept and the methodology approach in creation and development of transnational lifelong learning curriculum based on Erasmus+ 2015 KA2: Strategic Partnerships for adult education project application. As design of lifelong learning curriculums should be based on research study on market needs and employers stand on generic outcomes of their future employees we have created methodology approach to achieve these requirements. This represents crucial part of different approach in curriculum development. Educational institutions have to be ahead in time with an aim to deliver knowledge and skills that will create economic growth. This paper describes an example of project approach to this problem as one of its aims is to disseminate the importance of national harmonization and creation of the methodology that fosters synergy between educational programmes and labour market. The results on market needs should be done systematically and continuously, and not only through project applications by individual institutions projects. Furthermore, paper describes project network of seven universities from six EU countries with an aim to create a curriculum with content that should encourage and foster entrepreneurial proactivity especially in the countries where is evident low level in participation rate of adult education, age 35 to 64 (EUROSTAT analyse). The most important goal of this project is to test is it possible to create transnational curriculum with the same impact in different countries. The biggest challenge is to implement an e-learning platform with open access (MOOC) to methodology, teaching materials and instructional design that encourages proactivity, generates learning outcomes and improves generic competences. Presented project concept includes universities from Croatia, Slovenia, Hungary, Slovakia, Poland and Estonia. The aim of this paper is to present starting base for this kind of approach and present planned methodology and expected project outcomes based on project application.",2015,,,5314,5321
J,"Linn, MC; Eylon, BS; Rafferty, A",,,"Linn, Marcia C.; Eylon, Bat-Sheva; Rafferty, Anna",,Designing Instruction to Improve Lifelong Inquiry Learning,EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION,,"Citizens need the capability to conduct their own inquiry projects so that they can make sense of claims about new energy policies, health remedies, or financial opportunities. To develop the lifelong capability to grapple with these dilemmas, we report on ways to design precollege units that engage students in realistic, personally relevant investigations. Our investigations and syntheses of related work have resulted in the knowledge integration framework. This constructivist framework shows that, to succeed, learners build on what they know and use reasoning strategies to make sense of new information. To help designers we have identified a pattern that can guide instructional designers. The pattern involves supporting students to articulate their existing ideas, add new, normative ideas, distinguish them from their existing ideas, and reflect on their experiences as they increase the coherence of their ideas. To guide students, we are currently investigating automated guidance based on analysis of natural language essays students write while investigating complex problems such as global climate change.",2015,11,2,217,225
J,"Shaughnessy, AF; Slawson, DC",,,"Shaughnessy, AF; Slawson, DC",,Are we providing doctors with the training and tools for lifelong learning?,WESTERN JOURNAL OF MEDICINE,,,1999,171,5-6,325,328
J,"Jones, DB; Stefanidis, D; Korndorffer, JR; Dimick, JB; Jacob, BP; Schultz, L; Scott, DJ",,,"Jones, Daniel B.; Stefanidis, Dimitrios; Korndorffer, James R., Jr.; Dimick, Justin B.; Jacob, Brian P.; Schultz, Linda; Scott, Daniel J.",,"SAGES University MASTERS Program: a structured curriculum for deliberate, lifelong learning",SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,,"Background Postgraduate training has been haphazard to date. Surgeons have relied on attendance to annual meetings and multiple choice study guides to demonstrate maintenance of certification and continuing medical education. Methods SAGES held a retreat to develop the concept and scope of the Masters Program. Surveys were sent to SAGES members to guide curriculum development and selection of anchoring operations. Results SAGES has developed an educational curriculum across eight domains (Acute Care, Biliary, Bariatric, Colorectal, Hernia, Foregut, Flex Endoscopy, and Robotic Surrey) incorporating SAGES educational materials and guidelines, social media, coaching and mentoring. Conclusions Deliberate, lifelong learning should be a better way to teach and learn.",2017,31,8,3061,3071
J,"Martin, G",,,"Martin, G",,"The changing face of further education: lifelong learning, inclusion and community values in further education",EDUCATIONAL REVIEW,,,2005,57,2,251,253
B,"Armstrong, SJ; Thursfield, D; Landri, P; Ponzini, G",,"Wankel, C; DeFillippi, R","Armstrong, Steven J.; Thursfield, Denise; Landri, Paolo; Ponzini, Giuseppe",,CHALLENGES OF EDUCATING EUROPEAN MANAGERS OF LIFELONG LEARNING,UNIVERSITY AND CORPORATE INNOVATIONS IN LIFELONG LEARNING,Research in Management Education and Development,"It is an ambition of the European Council to become one of the world's most competitive and dynamic economies. Lifelong learning is seen as a focal point for realizing that ambition. This chapter reports on the efforts of a group of European partners to construct an innovative education course For managers of lifelong learning across Europe. The aim was to construct a course to help managers develop the knowledge and skills needed to promote lifelong learning in their organizations. This aim was to be achieved through fusion of the diverse understandings of various partners. We show how, through negotiation between team members, the project culminated in a final course that provided participants with a toolbox of ideas, concepts, models and methods that can be usefully used to promote lifelong learning.",2008,,,91,131
J,"Voitovska, O; Tolochko, S; Bordyug, N",,,"Voitovska, Oksana; Tolochko, Svitlana; Bordyug, Nataliya",,Lifelong Learning in Modern Strategies of Sustainable Development,STUDIA WARMINSKIE,,"Due to the plasticity and dynamics of modern socio-cultural life, it can be noted that ()duration is now presented as an open system, i.e. one in which it is impossible to propose certain permanent and unchanging solutions. According to the authors of the article, this means that the variability and dynamics of social, economic, psychological or environmental problems determines the necessity for the modern man to take the so-called. lifelong learning. The authors emphasize that the implementation in the societies of the process of lifelong learning in the current socio-cultural conditions will be conducive to the sustainable developmentt, of both the entire humanity and individual communities.",2018,,55,343,352
J,"Preece, J",,,"Preece, Julia",,Africa and international policy making for lifelong learning: textual revelations,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,,"This paper discusses the relationship between international agendas for lifelong learning and financial aid for low income countries, especially those on the African continent. It argues that there are subtle differences in terminology written by policymakers respectively in Europe and South Africa for lifelong learning but that international development agendas reinscribe lifelong learning for countries in receipt of development aid. Taking a postcolonial perspective the paper provides a textual analysis of case examples from policy documents in two African countries to demonstrate how international aid priorities negatively affect government choices and policies for lifelong learning, in spite of more regional analyses of the role of education and lifelong learning for the continent's development needs. It argues that the inclusion of indigenous worldviews from the south have potential to enhance a global agenda for the social purpose element of lifelong learning. (C) 2012 Elsevier Ltd. All rights reserved.",2013,33,1,98,105
J,"Brooks, R",,,"Brooks, Rachel",,Young graduates and lifelong learning: The impact of institutional stratification,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,,"The National Adult Learning Survey and the 1970 British Cohort Study have pointed to considerable differences by level of educational qualification in attitude to and participation in adult or 'lifelong' learning. They suggest that graduates are more likely than other groups to engage in adult learning, generally, and to be motivated to do so by the intrinsic interest of the subject matter However, exploring the wider meaning attached to participation in such activities has been outside the remit of these studies. In an attempt to redress this gap, this article draws on life history interviews with recent graduates to consider the significance they attribute to taking part in lifelong learning. In particular it focuses on the extent to which decisions about education and training after graduation can be seen as consonant with 'individualized' life plans, and the degree of similarity between these decisions and previous processes of 'educational choice'.",2006,40,6,1019,1037
C,"Larionova, V; Brown, K; Lally, V",,"Chova, LG; Martinez, AL; Torres, IC","Larionova, V; Brown, K.; Lally, V",,INTEGRATING LIFELONG LEARNING WITHIN THE SMART CITY PARADIGM,"13TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2019)",INTED Proceedings,"This paper considers the role of lifelong learning in modern society within a technology enhanced learning mediated environment and the impact of the dependence on technology on the strategic design of learning systems. The role of lifelong learning in modern economies and the diversity of activities associated with lifelong learning requires targeted resourcing and understanding of the meaning of lifelong learning. The hegemony of technology enhanced learning in modern education is accepted as a de-facto component in the design of any learning programme, however the pedagogical paradigms may not be fully understood. The literature on the nexus between the technology enhanced learning and the smart city emphasises the technology while focusing on learning analytics and big data applications. Evidence of the pedagogical paradigm requirements is not quite so visible and this lack of understanding of the complete model has the potential to create tensions in the design of lifelong learning systems. A project-based methodology over 2 years was employed via 8 collaborative learning programmes involving more than 500 participants drawn from high school and college graduate levels. All projects were designed to provide authentic learning experiences where participants were divided into groups of 6 to 8 in a supported open learning community environment. Each authentic project was designed to immerse the participants in a practical oriented and socially significant programme of learning. During the process the participants demonstrated mastery and socially aware interaction. The agency of active learning is considered in the sense of the triune of human, education and economic, systems for the sustainable growth of a knowledge economy.",2019,,,5305,5310
C,"Nicolaescu, C",,"Frunzeti, T; Jugureanu, R; Ciolan, L; Radu, C","Nicolaescu, Cristina",,"FOREIGN LANGUAGES STUDIED THROUGH ONLINE PRACTICES, A STEP FORWARD TO LIFELONG LEARNING","LEVERAGING TECHNOLOGY FOR LEARNING, VOL II",eLearning and Software for Education,"My research is concisely described by exemplifying and commenting on the monitoring steps, results and conclusions in the view to expanding these practices and enhancing their effectiveness, corresponding to a growing demand. I also discuss the role of Web technologies in promoting life-long learning and streamlining knowledge management and diverse forms of applications, the factors that impinge on learning through the life course. By creating scenarios for a future use, the impact of e-learning on the educational environment is examined, with encouraging results in the sense that learners acquire new competences, in the particular field of foreign languages, pointing out the most important links between Lifelong Learning and adult education. Based on a research project on learning with technology, the results prove the positive changes in languages acquisition by practical experience for the advancement of pedagogical techniques in adult education.",2012,,,235,240
J,"Hurst, A",,,"Hurst, A",,"Community education, lifelong learning and social inclusion, policy and practice in education series, vol 4",DISABILITY & SOCIETY,,,2003,18,4,530,533
J,"Wilcox, P; Monobe, D",,,"Wilcox, Paul; Monobe, Dale",,Matrix of Humanistic Lifelong Learning for Public Libraries,PUBLIC LIBRARY QUARTERLY,,"There is much controversy within education about the purpose of lifelong learning and how to encourage it within educational institutions, including public libraries. Therefore, this article distinguishes between the human capital model of lifelong learning, and the humanistic model, and argues that the humanistic model is more consistent with library core values and can help public libraries remain relevant to their communities. Then, to help public libraries create lifelong learning programs steeped in humanistic values, the authors identify components of humanistic lifelong learning and examine educational programs that practice these values. Finally, the authors integrate these programs into the matrix of humanistic lifelong learning that can help public libraries establish a system of lifelong learning that is humanistic, individualized, and can be tailored to the local community.",2021,40,5,379,405
C,"Corbu, LC; Hapenciuc, CV",,"Nastase, C","Corbu, Luminita-Claudia; Hapenciuc, Cristian-Valentin",,Dynamic Model of Knowledge and Lifelong Learning Strategy in Economic Growth,"14TH ECONOMIC INTERNATIONAL CONFERENCE: STRATEGIES AND DEVELOPMENT POLICIES OF TERRITORIES: INTERNATIONAL, COUNTRY, REGION, CITY, LOCATION CHALLENGES",,"Knowledge is a central factor of production, which has a unique feature of an increase in earnings, and thus to increase their own values by means of both use and dissemination. Therefore, successful permanent exploitation of new knowledge in development of products, services, processes innovative is a highpoint in securing competitive advantage, on the one hand, but also for the sustainability of activities on the other hand, since knowledge means power and profitability. Knowledge carries both data and information, both through education and through practice, along with the dissemination and the use of their efficiency, which is a prerequisite for innovation and enhancing competitiveness. And as regards economic growth in the long term, the knowledge is the main engine of economic growth, when they are acquired, created, disseminated and actually used to increase economic development. Education plays an important role in economic growth theory demonstrating that efficient work based on knowledge gained during the 1950s 140 generates output for the function of production. The aim of this work is to reveal that the investment in knowledge is of strategic importance especially for the most developed economies. The model Lifelong Learning comes to complete our scientific, is regarded as the key these challenges. This approach considers that a population educated and trained appropriately is the key factor for future economic prosperity, promoting innovation, future economic growth and productivity, cultivation of life in the community, social cohesion and politics, and ultimately, obtaining a real democratic society. General procedure for the purpose of answering work, we have used the techniques of research: investigating secondary data and analysis on the contents of the main reports and studies of international organizations, such as World Bank-Human Development Report, European Lifelong Learning Indicators, the World Economic Forum and reports concerning the management of knowledge, education, and economic growth at the level of the member European Union. For analysis of the data were applied statistical methods and correlation analysis. The statistics show, the fact that, over time, the countries, the regions that have invested in education and training in the skills, took advantage and took advantage still from the economic point of view as well as the social these elections.",2018,,,22,27
C,"Aleandri, G; Girotti, L",,"Baskan, GA; Ozdamli, F; Kanbul, S; Ozcan, D","Aleandri, Gabriella; Girotti, Luca",,Lifelong learning and training: a never ending challenge and choice for educational system,4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012),Procedia Social and Behavioral Sciences,"Nowadays people and societies are involved in a continuing changing process, so education has become crucial both for individual life, knowledge, work and for socio-economic well-being of societies. The aim of this paper is to stress pedagogical and political debate about the important role of every grade of educational system for realizing effectively lifelong learning & training; especially earlier grades of schools. In this regard, the international indicators by OECD offer a comparative framework. The data analyses seem to confirm that human capital is one of the most important factors for all countries growth and wellbeing. (C) 2012 Published by Elsevier Ltd. Selection and/or peer review under responsibility of Prof. Dr. Huseyin Uzunboylu",2012,46,,1406,1412
C,"Senyuva, E; Caliskan, F",,"Besoluk, S","Senyuva, Emine; Caliskan, Figen",,Lifelong learning perception metaphoric of nurses,ERPA INTERNATIONAL CONGRESS ON EDUCATION (ERPA CONGRESS 2014),Procedia Social and Behavioral Sciences,"The aim of the study was to reveal the perceptions of nurses about lifelong learning nurses via metaphors. Qualitative and quantitative study pattern was used. The cosmos of the research was constituted by all the nurses (N: 325) who worked in an official inpatient care institution affiliated to T.C Ministry of Health in Istanbul. Research was realized with 269 volunteer nurses without any pick of sample. An information form collecting data about age, gender, marital status, graduated programme, department worked, total years worked as a nurse, whether they willingly became a nurse to determine the characteristics of the nurses. Each nurse was asked to complete the blanks in the sentence, 'Lifelong learning is like a/an.....................because..................'to reveal the perceptions of the nurses about the lifelong learning. The metaphors were gathered under 5 conceptual categories in terms of purposes-important-benefit of life long learning on the basis of metaphoric expressions. Nurses produced 139 metaphors for life long learning. More than half of the metaphors (95) were represented by a nurse. The remaining 46 metaphors were expressed by 2-20 nurses. The top four metaphors were baby, water, tree, and children, respectively. Most of the nurses regard lifelong learning as a necessity of constant change and development while thinking that learning realizes at every age and every place either consciously or unconsciously and lastly, they render lifelong learning possible, only by learning to learn. According to these conclusions, metaphors may be utilized as a strong research mean in order to reveal, understand and explain individual perceptions and mental images. There is a need for a wide range of qualitative researches analyzing nurses perceptions of lifelong learning and metaphorical analysis of their thoughts concerning lifelong learning. Examination of these researches' results in education programs would provide a big profit in determining nurses points of view towards lifelong learning. (C) 2014 The Authors. Published by Elsevier Ltd.",2014,152,,372,378
J,"Bennett, P; Morton, K",,,"Bennett, Paige; Morton, Kathryn",,Nuclear Medicine Education Via Instagram: A Viable Method for Informal Lifelong Learning,JOURNAL OF NUCLEAR MEDICINE TECHNOLOGY,,"Formal and informal lifelong learning allows nuclear medicine professionals to grow and change over time within this dynamic field. Over the past 2 decades, Internet-based websites have provided instantaneous access to informal learning opportunities, including nuclear medicine reference articles, videos and webinars, and case-based learning. More recently, medical educators have explored social media platforms such as Instagram, Facebook, and Twitter to provide nuclear medicine education. This article discusses the use of Instagram as a platform for lifelong learning in nuclear medicine. Several nuclear medicine Instagram sites are introduced and user characteristics and participation for a representative site are presented in an effort to learn more about this educational forum, which is increasingly being recognized among academic educators.",2021,49,2,175,177
